"","T_CNR4_Avg","SW_in_HQ_temp_Avg","Tair_15m_Avg"
"8554",27.55411,26.63725,26.39379
"8555",27.82356,26.86738,26.85513
"8556",27.6922,26.86447,27.01746
"8557",27.71705,27.13913,27.06486
"8558",27.47798,27.00018,27.4418
"8559",27.02698,26.77284,27.41756
"8560",26.39516,26.35309,26.83872
"8561",25.41197,25.56575,26.0306
"8562",23.97733,24.2583,24.91748
"8563",22.33887,22.66783,23.42811
"8564",21.10221,21.53113,22.35995
"8565",20.20999,20.74506,21.60393
"8566",19.58662,20.0601,20.92275
"8567",18.81954,19.13299,19.96082
"8568",17.76249,17.95554,18.76918
"8569",17.46325,17.67495,18.56601
"8570",17.04004,17.34465,18.36535
"8571",16.06848,16.4789,17.74258
"8572",15.66518,16.01688,17.2101
"8573",15.13574,15.49,16.79509
"8574",14.55688,14.93218,16.25499
"8575",14.73187,15.04097,16.15421
"8576",14.63143,14.92757,16.06123
"8577",14.16785,14.46898,15.5999
"8578",13.8281,14.11708,15.22794
"8579",13.35559,13.6218,14.94425
"8580",13.29841,13.57445,14.70152
"8581",13.84629,13.99305,15.00206
"8582",13.6824,13.87113,14.85584
"8583",14.54996,14.73414,15.6722
"8584",15.05404,15.22044,16.15091
"8585",13.96273,14.13452,15.11078
"8586",13.90887,14.08122,15.04052
"8587",14.70205,14.92464,16.149
"8588",16.36225,16.46379,17.70767
"8589",17.74239,17.58961,18.80407
"8590",18.98136,18.61931,19.65048
"8591",19.99671,19.48953,20.34081
"8592",21.13399,20.49202,21.19613
"8593",22.37084,21.55881,22.10975
"8594",23.53687,22.65587,22.93139
"8595",24.24274,23.4513,23.52422
"8596",25.43795,24.57921,24.59964
"8597",26.21016,25.26296,25.2875
"8598",26.9778,26.10063,25.99131
"8599",27.76901,26.70744,26.49611
"8600",27.92846,27.08646,26.90051
"8601",27.82103,26.92266,27.03573
"8602",26.86865,26.25232,26.49918
"8603",26.66776,26.11838,26.50713
"8604",26.1128,25.72898,26.18864
"8605",26.19197,25.76026,26.19137
"8606",25.68564,25.38723,25.89431
"8607",25.25637,25.01372,25.497
"8608",24.94962,24.80634,25.34466
"8609",24.96818,24.82563,25.34565
"8610",24.32252,24.20424,24.80832
"8611",23.81646,23.71756,24.32916
"8612",23.11588,23.08661,23.7311
"8613",22.34119,22.3859,23.06889
"8614",21.75288,21.80541,22.46978
"8615",21.14955,21.22355,21.84882
"8616",20.41885,20.47663,21.08572
"8617",19.59729,19.67482,20.31293
"8618",19.17953,19.28939,19.88493
"8619",18.77516,18.88841,19.50171
"8620",18.17843,18.25747,18.90691
"8621",17.60183,17.6861,18.42167
"8622",17.54885,17.61362,18.29621
"8623",17.08818,17.15911,17.81128
"8624",17.33054,17.38757,17.9547
"8625",17.08749,17.11936,17.63035
"8626",16.75813,16.83236,17.36746
"8627",16.67716,16.79391,17.36877
"8628",15.9638,16.12581,16.96682
"8629",15.22989,15.56337,16.70475
"8630",14.21847,14.53511,15.78246
"8631",13.62396,13.96163,15.51559
"8632",14.21933,13.96057,15.34029
"8633",15.63908,14.04207,15.45994
"8634",16.73292,13.35852,14.40259
"8635",18.55877,13.39103,14.95262
